,restaurant,url,distance,star,num_reviews,city,price_range,cuisine,cuisine_label
2753,The Hideout Diner,https://www.doordash.com/store/843244/?pickup=false,1.7,4.6,17,Vancouver,$$,,
2754,INS Market,https://www.doordash.com/convenience/store/2242911/?pickup=false,0.3,4.2,1,Vancouver,$$,,
2755,Union Latino's Food,https://www.doordash.com/store/23370733/?pickup=false,0.5,5,1,Vancouver,$$,Latin American & Global Fusion,Latin American
2756,Bobatea Investments Ltd.,https://www.doordash.com/store/2650351/?pickup=false,0.3,4.8,28,Vancouver,$$,,
2757,Grab N Go Yaletown,https://www.doordash.com/store/2105703/?pickup=false,0.5,4.9,34,Vancouver,$$,East Asian,Korean
2758,Ojas blend,https://www.doordash.com/store/1608717/?pickup=false,0.4,4.6,64,Vancouver,$$,South Asian,Indian
2759,ZAC¢ZAC JAPANESE CURRY HOUSE,https://www.doordash.com/store/23267569/?pickup=false,0.17,5,1,Vancouver,$$,East Asian,Japanese
2760,Bird N' Hand,https://www.doordash.com/store/23261782/?pickup=false,0.8,5,1,Vancouver,$$,,
2761,Gong Cha è´¡è,https://www.doordash.com/store/885385/?pickup=false,0.3,4.5,232,Vancouver,$$,East Asian,Chinese
2762,Takis Taverna,https://www.doordash.com/store/1178124/?pickup=false,0.8,4.6,520,Vancouver,$$,European,Greek
2763,Noor Donair,https://www.doordash.com/store/22979798/?pickup=false,1.7,4.4,17,Vancouver,$$,Middle Eastern,Middle Eastern
2764,PetSmart,https://www.doordash.com/convenience/store/1873451/?pickup=false,0.9,4.7,211,Vancouver,$$,,
2765,Siegel's Bagels,https://www.doordash.com/store/42820/?pickup=false,1.1,4.7,281,Vancouver,$,,
2766,Goldilocks Bakeshop,https://www.doordash.com/store/446175/?pickup=false,1.5,4.6,21,Vancouver,$$,Southeast Asian,Filipino
2767,Casa Della Pasta,https://www.doordash.com/store/23039294/?pickup=false,1,4.6,39,Vancouver,$$,European,Italian
2768,Freshii,https://www.doordash.com/store/954576/?pickup=false,0.5,4.5,134,Vancouver,$$,,
2769,Cha Yuan,https://www.doordash.com/store/817795/?pickup=false,0.6,4.8,87,Vancouver,$$,,
2770,Urban Sushi,https://www.doordash.com/store/566428/?pickup=false,0.3,4.8,23,Vancouver,$$,,
2771,Gelato del Mercato,https://www.doordash.com/store/1694430/?pickup=false,1.1,4.9,46,Vancouver,$$,,
2772,Paramount Fine Foods,https://www.doordash.com/store/226927/?pickup=false,0.17,4.3,1900,Vancouver,$$,,
2773,Chirpyhut Fried Chicken,https://www.doordash.com/store/2163795/?pickup=false,1.5,4.5,88,Vancouver,$$,,
2774,Komo Eats Vegan,https://www.doordash.com/store/2832924/?pickup=false,1.5,4.8,52,Vancouver,$$,,
2775,ShareTea,https://www.doordash.com/store/154975/?pickup=false,0.7,4.6,220,Vancouver,$,,
2776,inBtwn Cafe,https://www.doordash.com/store/2195994/?pickup=false,0.9,4.4,18,Vancouver,$$,,
2777,Bamboo World Kitchen Limited,https://www.doordash.com/store/2272567/?pickup=false,1.7,4.3,1,Vancouver,$$,,
2778,Jugo Juice,https://www.doordash.com/store/1188086/?pickup=false,0.2,4.7,19,Vancouver,$$,,
2779,Sandwich Express (Maple Leaf Deli),https://www.doordash.com/store/28061/?pickup=false,0.7,4.1,10,Vancouver,$,North American,American
2780,INS Market,https://www.doordash.com/convenience/store/1622260/?pickup=false,0.17,4,21,Vancouver,$$,,
2781,SeaHouse restaurant,https://www.doordash.com/store/1617345/?pickup=false,0.5,4.7,25,Vancouver,$$,,
2782,Waves Coffee House,https://www.doordash.com/store/2734233/?pickup=false,0.13,4.9,14,Vancouver,$,,
2783,Tacofino Oasis,https://www.doordash.com/store/566656/?pickup=false,0.5,4.7,233,Vancouver,$$,North American,Mexican
